"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 14 05:30:39 UTC 2024","Wed Feb 14 05:30:47 UTC 2024","8188","chromium","test.spec.js","Art & Writing Site","","","Verify Manage Work Page Data",""
"passed","Wed Feb 14 05:30:21 UTC 2024","Wed Feb 14 05:30:27 UTC 2024","6005","chromium","testart.spec.js","Art & Writing Site","","","Verify Art Work Manage Work Page",""
"passed","Wed Feb 14 05:30:09 UTC 2024","Wed Feb 14 05:30:14 UTC 2024","5285","chromium","testart.spec.js","Art & Writing Site","","","Verify In My Account Dashboard Page Work Tab Is Visible",""
"passed","Wed Feb 14 05:31:05 UTC 2024","Wed Feb 14 05:31:23 UTC 2024","17405","chromium","test.spec.js","Art & Writing Site","","","Verify Writing Data Entered Properly on the Upload Work Page",""
"passed","Wed Feb 14 05:30:27 UTC 2024","Wed Feb 14 05:30:35 UTC 2024","8435","chromium","testart.spec.js","Art & Writing Site","","","Verify Art Work Page Basic Info Data",""
"passed","Wed Feb 14 05:30:22 UTC 2024","Wed Feb 14 05:30:28 UTC 2024","5781","chromium","test.spec.js","Art & Writing Site","","","Verify In My Account Dashboard Page Portfolio Tab Is Visible",""
"passed","Wed Feb 14 05:31:37 UTC 2024","Wed Feb 14 05:31:58 UTC 2024","20907","chromium","testart.spec.js","Art & Writing Site","","","Verify Art Work Review Page Displayed Properly",""
"passed","Wed Feb 14 05:31:15 UTC 2024","Wed Feb 14 05:31:37 UTC 2024","22531","chromium","testart.spec.js","Art & Writing Site","","","Verify Art Work Cash Awards Page Displayed Properly",""
"passed","Wed Feb 14 05:30:35 UTC 2024","Wed Feb 14 05:30:54 UTC 2024","18601","chromium","testart.spec.js","Art & Writing Site","","","Verify Art Work Upload Page Display Properly",""
"passed","Wed Feb 14 05:32:44 UTC 2024","Wed Feb 14 05:33:35 UTC 2024","51654","chromium","test.spec.js","Art & Writing Site","","","Verify Writing Work Checkout Payment Done Properly",""
"passed","Wed Feb 14 05:30:16 UTC 2024","Wed Feb 14 05:30:22 UTC 2024","6020","chromium","test.spec.js","Art & Writing Site","","","Verify My Account Dashboard Click on the Add Work Button",""
"skipped","Wed Feb 14 05:33:35 UTC 2024","Wed Feb 14 05:33:35 UTC 2024","0","chromium","testsearch.spec.js","Art & Writing Site","","","Verify user able to search any work properly",""
"passed","Wed Feb 14 05:33:25 UTC 2024","Wed Feb 14 05:33:27 UTC 2024","2284","chromium","testcreateaccount.spec.js","Art & Writing Site","","","Verify Create Account Sign Up Page with data Display Properly",""
"passed","Wed Feb 14 05:30:11 UTC 2024","Wed Feb 14 05:30:16 UTC 2024","5167","chromium","test.spec.js","Art & Writing Site","","","Verify In My Account Dashboard Page Work Tab Is Visible",""
"passed","Wed Feb 14 05:30:54 UTC 2024","Wed Feb 14 05:31:15 UTC 2024","20774","chromium","testart.spec.js","Art & Writing Site","","","Verify Art Work Data Entered Properly on the Upload Work Page",""
"passed","Wed Feb 14 05:32:20 UTC 2024","Wed Feb 14 05:32:43 UTC 2024","22307","chromium","testart.spec.js","Art & Writing Site","","","Verify Art Work Payment Page Displayed Properly",""
"passed","Wed Feb 14 05:33:27 UTC 2024","Wed Feb 14 05:33:30 UTC 2024","3182","chromium","testcreateaccount.spec.js","Art & Writing Site","","","Verify Create Account Sign Up Page with My Info Page Display Properly",""
"passed","Wed Feb 14 05:30:02 UTC 2024","Wed Feb 14 05:30:11 UTC 2024","9154","End to End Submit Writing Work","test.spec.js","Art & Writing Site","","","Verify user able to login properly in art & write site",""
"passed","Wed Feb 14 05:31:58 UTC 2024","Wed Feb 14 05:32:20 UTC 2024","22381","chromium","testart.spec.js","Art & Writing Site","","","Verify Art Work Submit Review Page Displayed Properly",""
"passed","Wed Feb 14 05:33:22 UTC 2024","Wed Feb 14 05:33:25 UTC 2024","2282","End to End Create New user Account","testcreateaccount.spec.js","Art & Writing Site","","","Verify Create Account Sign Up Page Display Properly",""
"passed","Wed Feb 14 05:31:41 UTC 2024","Wed Feb 14 05:32:02 UTC 2024","20347","chromium","test.spec.js","Art & Writing Site","","","Verify Review Work Page Displayed Properly",""
"passed","Wed Feb 14 05:30:28 UTC 2024","Wed Feb 14 05:30:33 UTC 2024","5507","chromium","test.spec.js","Art & Writing Site","","","Verify My Account Dashboard Click on the Add Portfolio Button",""
"passed","Wed Feb 14 05:32:43 UTC 2024","Wed Feb 14 05:33:22 UTC 2024","39581","chromium","testart.spec.js","Art & Writing Site","","","Verify Art Work Checkout Payment Done Properly",""
"passed","Wed Feb 14 05:33:30 UTC 2024","Wed Feb 14 05:33:41 UTC 2024","10893","chromium","testcreateaccount.spec.js","Art & Writing Site","","","Verify User Create Account Successfully",""
"passed","Wed Feb 14 05:30:33 UTC 2024","Wed Feb 14 05:30:39 UTC 2024","5787","chromium","test.spec.js","Art & Writing Site","","","Verify Manage Work Page",""
"passed","Wed Feb 14 05:30:14 UTC 2024","Wed Feb 14 05:30:21 UTC 2024","6368","chromium","testart.spec.js","Art & Writing Site","","","Verify My Account Dashboard Click on the Add Work Button",""
"passed","Wed Feb 14 05:30:02 UTC 2024","Wed Feb 14 05:30:09 UTC 2024","7579","End to End Submit Art Work","testart.spec.js","Art & Writing Site","","","Verify user able to login properly in art & write site",""
"passed","Wed Feb 14 05:31:23 UTC 2024","Wed Feb 14 05:31:41 UTC 2024","18776","chromium","test.spec.js","Art & Writing Site","","","Verify Cash Awards Page Displayed Properly",""
"passed","Wed Feb 14 05:32:23 UTC 2024","Wed Feb 14 05:32:44 UTC 2024","20710","chromium","test.spec.js","Art & Writing Site","","","Verify Payment Page Displayed Properly",""
"passed","Wed Feb 14 05:32:02 UTC 2024","Wed Feb 14 05:32:23 UTC 2024","21370","chromium","test.spec.js","Art & Writing Site","","","Verify Submit Review Work Page Displayed Properly",""
"passed","Wed Feb 14 05:30:47 UTC 2024","Wed Feb 14 05:31:05 UTC 2024","18004","chromium","test.spec.js","Art & Writing Site","","","Verify Work Upload Page Display Properly",""
